cc_num,first,last,trans_num,trans_date,trans_time,unix_time,category,merchant,amt,merch_lat,merch_long,is_fraud
5157436163845247,Sara,Crawford,8e0299d3779108d4d28caa4381c8c26b,2012-01-02T00:00:00.000+05:30,01:23:34,1325467414,health_fitness,Dietrich-Fadel,1774,33.619662,-117.391852,1
5157436163845247,Sara,Crawford,2fe127c95a68344e6437cc88d35ab5e2,2012-01-02T00:00:00.000+05:30,01:52:06,1325469126,shopping_pos,Lynch Ltd,2013,34.570986,-118.71129,1
5157436163845247,Sara,Crawford,80d1082017324144866e8254de15b37d,2012-01-02T00:00:00.000+05:30,02:00:37,1325469637,shopping_pos,Hudson-Grady,1801,36.988153,-120.376765,1
5157436163845247,Sara,Crawford,c3d13d0ac25edc93448148f8ce51d375,2012-01-02T00:00:00.000+05:30,23:06:58,1325545618,kids_pets,"Yost, Schamberger and Windler",1978,34.865241,-117.415518,1
5157436163845247,Sara,Crawford,f7afbdef045b1316f7a5eb1d82ce8604,2012-01-02T00:00:00.000+05:30,23:14:41,1325546081,home,Collier LLC,1106,36.29832,-118.863027,1
5157436163845247,Sara,Crawford,18ebcfe1cf2da133be4841f6ce8df45b,2012-01-02T00:00:00.000+05:30,23:20:38,1325546438,grocery_pos,Hackett-Lueilwitz,2242,36.258304,-119.416048,1
5157436163845247,Sara,Crawford,8d5cec66e5ee72fe0962da40bf0a913d,2012-01-02T00:00:00.000+05:30,23:45:49,1325547949,food_dining,"Kutch, Steuber and Gerhold",1238,34.976981,-119.638322,1
5157436163845247,Sara,Crawford,b260b815d4d07f909813d7112e852741,2012-01-02T00:00:00.000+05:30,23:49:56,1325548196,grocery_pos,Koepp-Parker,1310,33.766069,-120.140781,1
5157436163845247,Sara,Crawford,d4217914d8d6d76c511a16a6d5ac8ee5,2012-01-02T00:00:00.000+05:30,23:55:08,1325548508,misc_pos,Simonis-Prohaska,2603,35.401589,-118.340026,1
5157436163845247,Sara,Crawford,865823042de47eafaeaf9db0b05a3eb8,2012-01-03T00:00:00.000+05:30,00:27:52,1325550472,kids_pets,Fahey Inc,2786,33.642491,-120.475572,1
30260722249657,Debra,Davis,993dd1591dddf4100d214a782f135fa7,2012-01-03T00:00:00.000+05:30,00:50:14,1325551814,shopping_pos,Pagac LLC,105,42.102573,-83.023929,1
5157436163845247,Sara,Crawford,469a347fdac3c5d8e33e5e182c8ecd69,2012-01-03T00:00:00.000+05:30,02:34:08,1325558048,entertainment,Stark-Batz,1825,36.830873,-117.558296,1
5157436163845247,Sara,Crawford,e4bf8bf72c3187d4acb06fb94e029fc4,2012-01-03T00:00:00.000+05:30,02:50:05,1325559005,shopping_pos,"Roob, Conn and Tremblay",2476,34.135477,-117.699191,1
5157436163845247,Sara,Crawford,4222e951a35216e89089161ca27f43d3,2012-01-03T00:00:00.000+05:30,03:00:46,1325559646,health_fitness,Torphy-Kertzmann,1580,33.722255,-117.662093,1
4515092388857440,Timothy,Silva,d2eb472cb3da338b38e2343ea94bda25,2012-01-03T00:00:00.000+05:30,03:15:47,1325560547,shopping_pos,Hickle Group,275,40.008847,-84.138624,1
5157436163845247,Sara,Crawford,1c59a298ea437001bf38b6e893ace68a,2012-01-03T00:00:00.000+05:30,08:32:57,1325579577,kids_pets,"Streich, Rolfson and Wilderman",570,34.590585,-117.728676,1
30260722249657,Debra,Davis,5f6a7b065e534062c22b5d61386d4565,2012-01-03T00:00:00.000+05:30,13:44:49,1325598289,shopping_net,"Ruecker, Beer and Collier",98,43.979637,-85.076657,1
